	Meaty	Medicinal	Chocolate	Wood	Spice	Herbaceous	Berry	Dairy	Green	Nutty	Petrol	Floral	Caramel	Sulphur	Tree fruit	Tropical	Marine	Earthy	Melon	Sour	Citrus	Roasted	Phenol	Pungent	Smoke	Toasted	Savory
124	0.06	0.06	0.18	0.12	0.13	0.19	0.1	0.06	0.14	0.1	0.17	0.24	0.09	0.02	0.08	0.01	0.14	0.13	0.06	0.07	0.32	0.04	0.03	0.15	0.11	0.14	0.5
125	0.06	0.06	0.04	0.12	0.03	0.02	0.02	0.12	0.04	0.03	0.17	0.04	0.02	0.02	0.01	0.01	0.14	0.13	0.06	0.07	0.02	0.04	0.03	0.02	0.11	0.14	0.5
126	0.06	0.04	0.04	0.06	0.03	0.03	0.02	0.12	0.02	0.03	0.17	0.06	0.04	0.02	0.03	0.01	0.14	0.01	0.06	0.07	0.05	0.04	0.03	0.02	0.11	0.14	0.5
127	0.06	0.04	0.04	0.01	0.03	0.03	0.02	0.12	0.02	0.01	0.17	0.06	0.01	0.02	0.03	0.01	0.14	0.01	0.06	0.07	0.05	0.04	0.03	0.02	0.11	0.14	0.5
128	0.06	0.12	0.18	0.06	0.16	0.1	0.17	0.12	0.25	0.24	0.17	0.29	0.32	0.09	0.2	0.19	0.14	0.13	0.11	0.27	0.16	0.07	0.17	0.24	0.11	0.14	0.5
129	0.06	0.08	0.04	0.02	0.16	0.07	0.03	0.12	0.06	0.03	0.17	0.04	0.05	0.09	0.02	0.04	0.07	0.13	0.06	0.27	0.07	0.07	0.07	0.02	0.11	0.14	0.5
130	0.03	0.04	0.04	0.04	0.06	0.03	0.02	0.12	0.02	0.03	0.17	0.02	0.01	0.09	0.02	0.01	0.07	0.03	0.06	0.07	0.07	0.07	0.07	0.02	0.11	0.14	0.5
131	0.03	0.06	0.04	0.06	0.06	0.02	0.03	0.06	0.02	0.01	0.17	0.09	0.04	0.09	0.02	0.01	0.07	0.03	0.06	0.07	0.07	0.07	0.07	0.04	0.06	0.14	0.5
132	0.03	0.02	0.04	0.02	0.06	0.02	0.03	0.06	0.02	0.01	0.17	0.09	0.01	0.09	0.02	0.01	0.07	0.01	0.06	0.07	0.07	0.07	0.07	0.04	0.06	0.14	0.5
133	0.06	0.1	0.04	0.04	0.16	0.07	0.04	0.06	0.02	0.06	0.17	0.16	0.07	0.09	0.08	0.02	0.07	0.01	0.06	0.07	0.11	0.07	0.2	0.02	0.11	0.14	0.5
134	0.19	0.1	0.32	0.1	0.1	0.1	0.09	0.19	0.22	0.42	0.33	0.16	0.17	0.11	0.11	0.05	0.36	0.33	0.06	0.2	0.18	0.22	0.13	0.17	0.06	0.29	0.5
135	0.11	0.02	0.14	0.07	0.06	0.08	0.07	0.12	0.11	0.14	0.83	0.1	0.04	0.1	0.01	0.06	0.36	0.19	0.06	0.27	0.07	0.09	0.1	0.07	0.06	0.29	0.5
136	0.08	0.1	0.18	0.11	0.06	0.1	0.04	0.06	0.1	0.19	0.33	0.08	0.05	0.02	0.01	0.04	0.21	0.19	0.06	0.27	0.1	0.16	0.07	0.07	0.06	0.29	0.5
137	0.11	0.15	0.18	0.06	0.16	0.12	0.11	0.06	0.26	0.26	0.33	0.29	0.26	0.1	0.14	0.08	0.21	0.19	0.22	0.27	0.18	0.07	0.17	0.26	0.06	0.29	0.5
138	0.11	0.15	0.11	0.04	0.16	0.07	0.05	0.06	0.1	0.15	0.33	0.02	0.04	0.12	0.01	0.08	0.36	0.26	0.22	0.27	0.02	0.09	0.17	0.09	0.11	0.29	0.5
139	0.11	0.15	0.11	0.04	0.16	0.07	0.05	0.06	0.02	0.15	0.33	0.02	0.04	0.04	0.01	0.08	0.36	0.01	0.22	0.13	0.03	0.09	0.17	0.02	0.11	0.29	0.5
140	0.03	0.15	0.11	0.04	0.16	0.02	0.07	0.12	0.04	0.15	0.33	0.02	0.03	0.04	0.03	0.08	0.36	0.03	0.06	0.33	0.01	0.02	0.17	0.07	0.11	0.29	0.5
141	0.06	0.02	0.04	0.02	0.03	0.03	0.08	0.19	0.12	0.06	0.17	0.07	0.04	0.11	0.01	0.05	0.21	0.14	0.06	0.2	0.15	0.04	0.17	0.17	0.11	0.29	0.5
142	0.06	0.02	0.04	0.02	0.03	0.03	0.08	0.19	0.01	0.06	0.17	0.07	0.04	0.04	0.01	0.05	0.21	0.01	0.06	0.2	0.15	0.04	0.17	0.02	0.11	0.29	0.5
143	0.11	0.02	0.29	0.01	0.03	0.03	0.06	0.19	0.11	0.29	0.17	0.07	0.05	0.05	0.02	0.06	0.5	0.19	0.06	0.4	0.08	0.18	0.17	0.15	0.06	0.14	0.5
144	0.03	0.02	0.29	0.01	0.03	0.03	0.06	0.19	0.11	0.29	0.17	0.07	0.05	0.04	0.02	0.06	0.5	0.19	0.06	0.4	0.08	0.18	0.17	0.15	0.06	0.14	0.5
145	0.31	0.1	0.29	0.11	0.1	0.08	0.15	0.25	0.22	0.36	0.5	0.11	0.15	0.2	0.03	0.09	0.71	0.44	0.06	0.27	0.15	0.24	0.1	0.22	0.11	0.14	0.5
146	0.11	0.04	0.18	0.03	0.06	0.12	0.06	0.06	0.09	0.15	0.67	0.06	0.06	0.11	0.01	0.04	0.14	0.17	0.06	0.13	0.08	0.07	0.07	0.09	0.11	0.14	0.5
147	0.17	0.04	0.18	0.02	0.06	0.03	0.02	0.06	0.04	0.21	0.17	0.04	0.02	0.09	0.01	0.02	0.21	0.1	0.06	0.07	0.02	0.11	0.07	0.07	0.06	0.14	0.5
148	0.17	0.25	0.21	0.09	0.19	0.15	0.06	0.12	0.1	0.24	0.33	0.07	0.19	0.07	0.03	0.02	0.36	0.24	0.06	0.07	0.06	0.02	0.5	0.15	0.33	0.14	0.5
149	0.08	0.25	0.04	0.03	0.19	0.07	0.06	0.12	0.14	0.09	0.17	0.05	0.05	0.07	0.02	0.04	0.36	0.07	0.17	0.07	0.08	0.02	0.5	0.17	0.33	0.14	0.5
150	0.08	0.25	0.04	0.03	0.19	0.07	0.06	0.06	0.01	0.09	0.17	0.05	0.05	0.07	0.02	0.04	0.36	0.07	0.17	0.13	0.08	0.02	0.5	0.17	0.33	0.14	0.5
151	0.17	0.04	0.04	0.06	0.19	0.14	0.09	0.19	0.23	0.09	0.33	0.07	0.07	0.12	0.03	0.12	0.36	0.29	0.22	0.27	0.18	0.04	0.07	0.2	0.33	0.14	0.5
152	0.17	0.04	0.18	0.07	0.06	0.03	0.06	0.12	0.07	0.16	0.17	0.07	0.09	0.01	0.02	0.02	0.43	0.11	0.22	0.2	0.05	0.04	0.17	0.22	0.06	0.14	0.5
153	0.08	0.06	0.11	0.07	0.1	0.03	0.01	0.06	0.04	0.04	0.17	0.02	0.03	0.02	0.01	0.02	0.43	0.11	0.11	0.2	0.03	0.04	0.2	0.07	0.22	0.14	0.5
154	0.06	0.06	0.11	0.07	0.1	0.03	0.06	0.19	0.12	0.05	0.17	0.03	0.01	0.14	0.02	0.04	0.07	0.11	0.06	0.07	0.03	0.02	0.07	0.11	0.22	0.14	0.5
155	0.06	0.1	0.07	0.02	0.29	0.03	0.02	0.19	0.02	0.06	0.17	0.03	0.05	0.14	0.01	0.01	0.07	0.03	0.06	0.07	0.03	0.04	0.23	0.11	0.33	0.14	0.5
156	0.06	0.1	0.07	0.02	0.29	0.03	0.02	0.19	0.02	0.01	0.17	0.03	0.05	0.14	0.02	0.01	0.07	0.03	0.06	0.07	0.01	0.04	0.23	0.02	0.33	0.14	0.5
157	0.06	0.12	0.18	0.04	0.16	0.12	0.11	0.12	0.22	0.25	0.17	0.26	0.26	0.09	0.16	0.08	0.21	0.16	0.11	0.4	0.2	0.07	0.17	0.24	0.33	0.14	0.5
158	0.06	0.02	0.18	0.04	0.16	0.12	0.06	0.12	0.22	0.25	0.17	0.04	0.01	0.09	0.16	0.08	0.21	0.16	0.11	0.4	0.06	0.07	0.17	0.24	0.33	0.14	0.5
159	0.08	0.1	0.18	0.06	0.06	0.03	0.04	0.12	0.05	0.01	0.17	0.19	0.04	0.09	0.06	0.01	0.07	0.16	0.06	0.4	0.13	0.02	0.13	0.02	0.11	0.14	0.5
160	0.08	0.12	0.18	0.19	0.06	0.25	0.09	0.12	0.12	0.03	0.17	0.15	0.14	0.09	0.09	0.02	0.14	0.16	0.11	0.2	0.14	0.02	0.03	0.13	0.11	0.14	0.5
161	0.08	0.02	0.07	0.19	0.1	0.02	0.03	0.12	0.04	0.04	0.17	0.08	0.04	0.09	0.05	0.04	0.07	0.16	0.11	0.07	0.11	0.02	0.03	0.04	0.11	0.14	0.5
162	0.19	0.48	0.46	0.25	0.26	0.39	1.0	0.56	0.74	0.47	0.67	0.61	0.88	0.1	1.0	1.0	0.5	0.5	1.0	0.87	0.53	0.11	0.27	0.67	0.11	0.14	0.5
163	0.19	0.48	0.46	0.25	0.26	0.39	1.0	0.56	0.74	0.47	0.67	0.61	0.88	0.1	1.0	1.0	0.5	0.5	1.0	0.87	0.53	0.11	0.27	0.67	0.11	0.14	0.5
164	0.08	0.29	0.18	0.34	0.29	0.36	0.6	0.44	0.5	0.33	0.67	0.49	0.64	0.1	0.73	0.65	0.29	0.29	0.33	0.53	0.43	0.09	0.27	0.48	0.06	0.14	0.5
165	0.08	0.23	0.18	0.07	0.23	0.15	0.18	0.12	0.3	0.29	0.17	0.33	0.34	0.09	0.19	0.09	0.29	0.19	0.11	0.47	0.25	0.09	0.3	0.26	0.11	0.14	0.5
166	0.08	0.02	0.18	0.07	0.23	0.03	0.1	0.12	0.07	0.29	0.17	0.04	0.03	0.09	0.06	0.08	0.29	0.01	0.06	0.47	0.06	0.09	0.3	0.02	0.11	0.14	0.5
167	0.17	0.27	0.18	0.15	0.19	0.41	0.63	0.25	0.55	0.3	0.33	0.39	0.55	0.09	0.62	0.67	0.36	0.4	0.56	0.53	0.28	0.13	0.17	0.5	0.06	0.14	0.5
168	0.17	0.27	0.18	0.15	0.19	0.41	0.03	0.25	0.02	0.3	0.33	0.01	0.01	0.09	0.02	0.02	0.36	0.4	0.56	0.53	0.28	0.13	0.17	0.5	0.06	0.14	0.5
169	0.17	0.27	0.18	0.15	0.19	0.41	0.03	0.25	0.02	0.3	0.33	0.01	0.01	0.09	0.02	0.02	0.36	0.4	0.56	0.53	0.28	0.13	0.17	0.5	0.06	0.14	0.5
170	0.03	0.27	0.18	0.15	0.19	0.02	0.03	0.25	0.02	0.01	0.33	0.01	0.02	0.09	0.03	0.05	0.36	0.4	0.06	0.07	0.28	0.13	0.03	0.5	0.06	0.14	0.5
171	0.08	0.21	0.18	0.26	0.23	0.32	0.36	0.19	0.42	0.25	0.17	0.41	0.45	0.09	0.44	0.44	0.21	0.19	0.22	0.53	0.3	0.07	0.23	0.3	0.06	0.14	0.5
172	0.11	0.19	0.36	0.13	0.19	0.24	0.2	0.81	0.31	0.49	0.33	0.34	0.43	0.1	0.26	0.24	0.36	0.29	0.17	0.6	0.33	0.2	0.17	0.35	0.06	0.14	0.5
173	0.06	0.15	0.07	0.12	0.19	0.12	0.12	0.12	0.1	0.04	0.17	0.14	0.12	0.1	0.1	0.16	0.14	0.1	0.06	0.2	0.14	0.2	0.17	0.09	0.06	0.14	0.5
174	0.11	0.56	0.29	0.44	0.35	0.56	0.44	0.25	0.48	0.31	0.67	0.55	0.54	0.15	0.43	0.41	0.29	0.34	0.22	0.6	0.55	0.07	0.33	0.41	0.06	0.14	0.5
175	0.11	0.27	0.25	0.17	0.16	0.22	0.22	0.19	0.29	0.25	0.33	0.37	0.37	0.09	0.23	0.22	0.29	0.21	0.17	0.6	0.29	0.07	0.17	0.28	0.06	0.14	0.5
176	0.06	0.15	0.07	0.12	0.16	0.12	0.12	0.12	0.1	0.04	0.17	0.14	0.12	0.09	0.1	0.16	0.14	0.1	0.06	0.2	0.14	0.07	0.17	0.09	0.06	0.14	0.5
177	0.06	0.12	0.18	0.04	0.16	0.1	0.11	0.19	0.19	0.24	0.17	0.25	0.27	0.09	0.14	0.08	0.14	0.11	0.11	0.4	0.15	0.07	0.17	0.24	0.06	0.14	0.5
178	0.19	0.21	0.32	0.08	0.16	0.2	0.27	0.06	0.33	0.34	0.17	0.31	0.38	0.48	0.2	0.18	0.14	0.29	0.11	0.33	0.23	0.16	0.2	0.37	0.06	0.14	0.5
179	0.08	0.27	0.18	0.16	0.32	0.25	0.22	0.31	0.32	0.26	0.17	0.4	0.37	0.09	0.2	0.22	0.36	0.24	0.22	0.4	0.26	0.07	0.23	0.37	0.06	0.14	0.5
180	0.06	0.15	0.18	0.04	0.16	0.14	0.17	0.19	0.25	0.25	0.17	0.29	0.28	0.09	0.17	0.11	0.14	0.14	0.22	0.33	0.16	0.07	0.17	0.26	0.06	0.14	0.5
181	0.11	0.23	0.25	0.31	0.35	0.32	0.35	0.44	0.43	0.3	0.5	0.48	0.48	0.09	0.31	0.32	0.29	0.31	0.22	0.4	0.4	0.09	0.2	0.39	0.11	0.14	0.5
182	0.19	0.4	0.25	0.29	0.45	0.51	0.61	0.38	0.62	0.4	0.5	0.65	0.64	0.09	0.45	0.65	0.71	0.43	0.78	0.67	0.53	0.09	0.4	0.57	0.22	0.14	0.5
183	0.28	0.27	0.43	0.44	0.39	0.58	0.61	0.38	0.64	0.49	0.83	0.61	0.76	0.28	0.57	0.48	0.43	0.49	0.67	0.73	0.62	0.22	0.27	0.48	0.22	0.14	0.5
184	0.08	0.12	0.25	0.06	0.16	0.14	0.17	0.38	0.22	0.29	0.17	0.28	0.26	0.09	0.23	0.09	0.14	0.16	0.22	0.27	0.17	0.07	0.2	0.3	0.06	0.14	0.5
185	0.08	0.12	0.18	0.04	0.16	0.14	0.17	0.12	0.25	0.25	0.17	0.25	0.28	0.1	0.22	0.14	0.29	0.16	0.17	0.53	0.15	0.07	0.17	0.28	0.06	0.14	0.5
186	0.08	0.19	0.18	0.11	0.23	0.17	0.31	0.12	0.32	0.31	0.33	0.34	0.4	0.1	0.23	0.26	0.14	0.31	0.22	0.4	0.24	0.11	0.17	0.35	0.06	0.14	0.5
187	0.08	0.21	0.18	0.13	0.19	0.2	0.17	0.06	0.3	0.25	0.17	0.33	0.32	0.09	0.16	0.12	0.29	0.2	0.17	0.4	0.26	0.09	0.17	0.24	0.06	0.14	0.5
188	0.08	0.21	0.18	0.12	0.16	0.17	0.2	0.25	0.29	0.28	0.17	0.34	0.33	0.11	0.24	0.19	0.29	0.26	0.11	0.53	0.24	0.09	0.23	0.35	0.06	0.14	0.5
189	0.08	0.21	0.18	0.12	0.16	0.17	0.02	0.06	0.04	0.01	0.17	0.02	0.01	0.11	0.03	0.02	0.29	0.01	0.11	0.53	0.24	0.02	0.03	0.35	0.06	0.14	0.5
190	0.19	0.46	0.21	0.31	0.45	0.36	0.59	0.69	0.66	0.42	0.5	0.49	0.7	0.17	0.6	0.58	0.43	0.43	0.5	0.67	0.46	0.07	0.5	0.54	0.39	0.14	0.5
191	0.22	0.29	0.21	0.18	0.16	0.37	0.57	0.25	0.56	0.38	0.17	0.5	0.54	0.21	0.49	0.61	0.36	0.47	0.5	0.47	0.3	0.09	0.17	0.46	0.39	0.14	0.5
192	0.08	0.12	0.21	0.08	0.23	0.15	0.23	0.06	0.4	0.25	0.17	0.39	0.32	0.09	0.35	0.18	0.21	0.19	0.39	0.4	0.24	0.07	0.17	0.3	0.39	0.14	0.5
193	0.06	0.15	0.18	0.04	0.16	0.15	0.25	0.06	0.24	0.26	0.17	0.29	0.32	0.12	0.23	0.19	0.14	0.14	0.22	0.27	0.16	0.07	0.17	0.24	0.39	0.14	0.5
194	0.14	0.38	0.18	0.62	0.55	0.59	0.43	0.25	0.6	0.33	0.67	0.71	0.57	0.14	0.36	0.38	0.29	0.43	0.44	0.6	1.0	0.09	0.23	0.52	0.11	0.14	0.5
195	0.14	0.04	0.18	0.62	0.55	0.03	0.06	0.25	0.11	0.01	0.67	0.14	0.03	0.14	0.03	0.01	0.07	0.06	0.06	0.2	0.2	0.02	0.23	0.09	0.06	0.14	0.5
196	0.17	0.4	0.36	0.29	0.35	0.51	0.57	0.38	0.44	0.42	0.83	0.57	0.64	0.1	0.4	0.59	0.36	0.36	0.28	1.0	0.48	0.16	0.23	0.54	0.06	0.14	0.5
197	0.03	0.4	0.04	0.03	0.06	0.15	0.25	0.25	0.15	0.1	0.17	0.14	0.17	0.1	0.26	0.28	0.07	0.17	0.22	1.0	0.06	0.16	0.07	0.02	0.06	0.14	0.5
198	0.14	0.27	0.18	0.21	0.32	0.49	0.74	0.25	0.67	0.36	0.17	0.61	0.67	0.11	0.62	0.73	0.43	0.46	0.72	0.6	0.4	0.09	0.3	0.52	0.11	0.14	0.5
199	0.06	0.08	0.07	0.04	0.03	0.03	0.15	0.12	0.14	0.06	0.17	0.06	0.1	0.05	0.16	0.15	0.43	0.1	0.22	0.6	0.01	0.02	0.07	0.11	0.06	0.14	0.5
200	0.06	0.08	0.04	0.04	0.03	0.05	0.13	0.12	0.06	0.01	0.17	0.03	0.09	0.05	0.06	0.19	0.43	0.06	0.06	0.6	0.03	0.02	0.07	0.04	0.06	0.14	0.5
201	0.14	0.31	0.21	0.2	0.23	0.36	0.52	0.38	0.52	0.36	0.5	0.48	0.62	0.11	0.49	0.53	0.29	0.31	0.39	0.67	0.33	0.13	0.27	0.43	0.06	0.14	0.5
202	0.08	0.25	0.25	0.12	0.16	0.24	0.31	0.12	0.37	0.29	0.17	0.34	0.42	0.09	0.33	0.27	0.29	0.23	0.22	0.47	0.26	0.09	0.17	0.41	0.06	0.14	0.5
203	0.03	0.12	0.07	0.08	0.16	0.14	0.23	0.06	0.22	0.07	0.17	0.09	0.17	0.09	0.24	0.22	0.14	0.13	0.11	0.07	0.13	0.04	0.17	0.17	0.06	0.14	0.5
204	0.06	0.17	0.21	0.08	0.19	0.17	0.17	0.12	0.32	0.25	0.17	0.33	0.32	0.09	0.22	0.16	0.14	0.19	0.28	0.4	0.2	0.07	0.17	0.3	0.06	0.14	0.5
205	0.06	0.02	0.21	0.01	0.19	0.02	0.03	0.12	0.06	0.01	0.17	0.02	0.01	0.09	0.01	0.01	0.14	0.03	0.17	0.4	0.02	0.07	0.17	0.02	0.06	0.14	0.5
206	0.19	0.29	0.25	0.17	0.26	0.2	0.69	0.31	0.43	0.36	0.5	0.46	0.68	0.2	0.52	0.64	0.36	0.37	0.61	0.73	0.34	0.11	0.3	0.5	0.06	0.14	0.5
207	0.11	0.21	0.18	0.16	0.16	0.25	0.54	0.19	0.51	0.3	0.33	0.4	0.55	0.09	0.66	0.52	0.36	0.31	0.39	0.53	0.29	0.09	0.2	0.3	0.06	0.14	0.5
208	0.11	0.02	0.18	0.01	0.03	0.07	0.11	0.06	0.13	0.03	0.33	0.02	0.08	0.09	0.1	0.13	0.07	0.06	0.06	0.53	0.07	0.09	0.2	0.3	0.06	0.14	0.5
209	0.11	0.12	0.18	0.04	0.16	0.12	0.13	0.06	0.24	0.25	0.17	0.26	0.27	0.14	0.15	0.07	0.29	0.17	0.17	0.47	0.16	0.07	0.17	0.28	0.06	0.14	0.5
210	0.06	0.15	0.21	0.11	0.23	0.25	0.31	0.12	0.41	0.3	0.33	0.32	0.39	0.09	0.36	0.32	0.21	0.24	0.28	0.4	0.22	0.09	0.17	0.35	0.11	0.14	0.5
211	0.08	0.04	0.11	0.03	0.13	0.08	0.18	0.19	0.17	0.11	0.33	0.11	0.13	0.09	0.18	0.16	0.07	0.09	0.06	0.27	0.07	0.02	0.1	0.17	0.06	0.14	0.5
212	0.03	0.04	0.04	0.01	0.06	0.05	0.04	0.12	0.06	0.09	0.17	0.04	0.06	0.09	0.02	0.06	0.14	0.1	0.06	0.07	0.01	0.02	0.1	0.04	0.06	0.14	0.5
213	0.06	0.17	0.18	0.04	0.16	0.14	0.15	0.12	0.24	0.25	0.33	0.32	0.27	0.09	0.16	0.07	0.14	0.16	0.11	0.27	0.18	0.09	0.17	0.26	0.06	0.14	0.5
214	0.08	0.12	0.18	0.07	0.16	0.15	0.13	0.06	0.2	0.25	0.5	0.28	0.28	0.11	0.15	0.08	0.14	0.14	0.17	0.33	0.16	0.07	0.2	0.28	0.06	0.14	0.5
215	0.06	0.12	0.21	0.07	0.16	0.17	0.23	0.06	0.24	0.28	0.33	0.29	0.36	0.09	0.2	0.19	0.29	0.2	0.11	0.33	0.16	0.07	0.17	0.3	0.06	0.14	0.5
216	0.06	0.12	0.21	0.07	0.16	0.03	0.18	0.06	0.09	0.28	0.33	0.01	0.11	0.09	0.16	0.19	0.29	0.03	0.17	0.33	0.01	0.07	0.17	0.04	0.06	0.14	0.5
217	0.11	0.33	0.21	0.17	0.26	0.32	0.48	0.19	0.5	0.36	0.33	0.47	0.52	0.14	0.43	0.44	0.36	0.3	0.39	0.47	0.33	0.09	0.23	0.39	0.11	0.14	0.5
218	0.11	0.44	0.29	0.37	0.45	0.2	0.2	0.12	0.27	0.35	0.17	0.43	0.45	0.09	0.18	0.15	0.29	0.23	0.11	0.47	0.34	0.09	0.4	0.41	0.33	0.29	0.5
219	0.11	0.44	0.29	0.01	0.45	0.02	0.04	0.12	0.01	0.35	0.17	0.43	0.03	0.09	0.01	0.07	0.29	0.23	0.11	0.47	0.01	0.09	0.4	0.41	0.06	0.29	0.5
220	0.03	0.04	0.14	0.06	0.06	0.14	0.09	0.12	0.16	0.06	0.17	0.18	0.12	0.05	0.01	0.08	0.14	0.13	0.11	0.2	0.2	0.04	0.1	0.11	0.06	0.14	0.5
221	0.11	0.25	0.18	0.22	0.26	0.31	0.25	0.62	0.4	0.26	0.33	0.49	0.5	0.09	0.33	0.2	0.29	0.26	0.11	0.47	0.4	0.07	0.37	0.37	0.06	0.14	0.5
222	0.06	0.23	0.21	0.21	0.32	0.31	0.32	0.06	0.31	0.31	0.33	0.42	0.47	0.09	0.34	0.28	0.21	0.33	0.22	0.33	0.26	0.07	0.2	0.39	0.06	0.14	0.5
223	0.11	0.35	0.18	0.2	0.39	0.25	0.25	0.31	0.33	0.28	0.33	0.46	0.4	0.09	0.27	0.26	0.14	0.23	0.11	0.33	0.32	0.09	0.33	0.33	0.17	0.14	0.5
224	0.06	0.15	0.18	0.04	0.19	0.12	0.14	0.06	0.23	0.24	0.17	0.28	0.3	0.09	0.17	0.08	0.14	0.11	0.17	0.33	0.15	0.07	0.17	0.3	0.06	0.14	0.5
225	0.06	0.12	0.18	0.07	0.16	0.15	0.14	0.12	0.24	0.24	0.17	0.25	0.29	0.09	0.17	0.12	0.14	0.16	0.11	0.27	0.15	0.07	0.2	0.26	0.06	0.14	0.5
226	0.14	0.23	0.21	0.11	0.29	0.2	0.22	0.12	0.27	0.3	0.17	0.4	0.35	0.11	0.24	0.19	0.14	0.19	0.22	0.33	0.25	0.07	0.37	0.37	0.11	0.14	0.5
227	0.14	0.02	0.04	0.11	0.29	0.03	0.08	0.12	0.03	0.07	0.17	0.01	0.04	0.11	0.06	0.05	0.14	0.03	0.06	0.07	0.25	0.07	0.37	0.11	0.11	0.14	0.5
228	0.08	0.17	0.18	0.06	0.19	0.14	0.16	0.06	0.23	0.25	0.33	0.3	0.32	0.09	0.17	0.09	0.21	0.16	0.11	0.33	0.16	0.07	0.2	0.26	0.11	0.14	0.5
229	0.14	0.38	0.21	0.22	0.23	0.31	0.34	0.44	0.39	0.35	0.5	0.45	0.5	0.09	0.26	0.26	0.21	0.3	0.22	0.47	0.31	0.07	0.37	0.48	0.11	0.14	0.5
230	0.08	0.19	0.18	0.1	0.16	0.17	0.23	0.12	0.27	0.26	0.17	0.3	0.37	0.09	0.24	0.27	0.21	0.23	0.22	0.47	0.17	0.07	0.17	0.33	0.06	0.14	0.5
231	0.06	0.17	0.18	0.13	0.16	0.17	0.13	0.19	0.27	0.28	0.17	0.3	0.28	0.09	0.15	0.09	0.21	0.23	0.17	0.4	0.17	0.07	0.2	0.35	0.06	0.14	0.5
232	0.08	0.12	0.25	0.1	0.19	0.15	0.18	0.06	0.24	0.25	0.17	0.31	0.3	0.09	0.18	0.11	0.14	0.14	0.11	0.4	0.21	0.07	0.17	0.35	0.06	0.14	0.5
233	0.17	0.33	0.21	0.35	0.32	0.37	0.38	0.62	0.4	0.35	0.33	0.5	0.53	0.1	0.32	0.28	0.21	0.29	0.39	0.6	0.28	0.07	0.33	0.63	0.11	0.14	0.5
234	0.22	0.31	0.39	0.19	0.29	0.37	0.87	0.5	0.7	0.45	0.5	0.51	0.78	0.15	0.74	0.82	0.36	0.53	0.67	0.73	0.43	0.07	0.23	0.63	0.11	0.14	0.5
235	0.22	0.31	0.04	0.04	0.06	0.17	0.08	0.5	0.06	0.04	0.5	0.04	0.15	0.15	0.08	0.08	0.14	0.09	0.11	0.73	0.07	0.07	0.03	0.04	0.06	0.14	0.5
236	0.22	0.02	0.04	0.03	0.03	0.05	0.04	0.5	0.05	0.04	0.5	0.1	0.04	0.15	0.01	0.01	0.14	0.09	0.06	0.13	0.09	0.07	0.03	0.07	0.06	0.14	0.5
237	0.22	0.04	0.07	0.16	0.13	0.14	0.11	0.06	0.19	0.04	0.33	0.22	0.12	0.15	0.1	0.12	0.14	0.06	0.11	0.13	0.29	0.04	0.03	0.02	0.06	0.14	0.5
238	0.11	0.23	0.25	0.24	0.39	0.27	0.24	0.38	0.33	0.26	0.33	0.43	0.39	0.16	0.22	0.22	0.21	0.21	0.28	0.47	0.46	0.09	0.3	0.43	0.17	0.14	0.5
239	0.08	0.12	0.18	0.09	0.16	0.22	0.25	0.06	0.35	0.24	0.17	0.39	0.32	0.09	0.27	0.18	0.29	0.17	0.17	0.4	0.32	0.07	0.17	0.3	0.17	0.14	0.5
240	0.11	0.38	0.18	0.54	0.48	0.58	0.23	0.19	0.48	0.25	0.67	0.59	0.43	0.09	0.18	0.19	0.21	0.24	0.28	0.53	0.97	0.09	0.23	0.33	0.17	0.14	0.5
241	0.06	0.29	0.18	0.63	0.48	0.41	0.14	0.12	0.35	0.25	0.67	0.47	0.38	0.09	0.17	0.12	0.21	0.24	0.17	0.47	0.67	0.11	0.17	0.37	0.06	0.14	0.5
242	0.06	0.38	0.18	0.63	0.42	0.56	0.18	0.06	0.43	0.24	0.5	0.57	0.41	0.09	0.23	0.14	0.21	0.21	0.28	0.4	0.82	0.11	0.23	0.37	0.11	0.14	0.5
243	0.06	0.38	0.18	0.63	0.42	0.02	0.01	0.06	0.02	0.24	0.5	0.02	0.01	0.09	0.05	0.14	0.21	0.03	0.28	0.4	0.01	0.11	0.23	0.37	0.11	0.14	0.5
244	0.03	0.06	0.18	0.06	0.42	0.05	0.06	0.06	0.03	0.01	0.17	0.02	0.06	0.09	0.03	0.07	0.21	0.04	0.22	0.4	0.18	0.02	0.03	0.04	0.11	0.14	0.5
245	0.17	0.38	0.36	0.17	0.32	0.31	0.44	0.38	0.4	0.41	0.67	0.43	0.54	0.14	0.35	0.36	0.43	0.26	0.28	0.47	0.23	0.09	0.47	0.41	0.11	0.14	0.5
246	0.39	0.46	0.5	0.24	0.35	0.41	0.39	0.44	0.51	0.64	0.5	0.54	0.54	0.35	0.27	0.39	0.57	0.63	0.17	0.67	0.4	0.31	0.4	0.59	0.17	0.14	0.5
247	0.03	0.04	0.11	0.03	0.03	0.08	0.02	0.44	0.07	0.06	0.5	0.05	0.02	0.09	0.01	0.01	0.07	0.13	0.06	0.07	0.03	0.31	0.1	0.11	0.17	0.14	0.5
248	0.08	0.15	0.18	0.13	0.23	0.19	0.15	0.44	0.25	0.24	0.17	0.29	0.29	0.09	0.16	0.09	0.14	0.16	0.11	0.33	0.21	0.07	0.17	0.35	0.17	0.14	0.5
249	0.08	0.23	0.18	0.22	0.29	0.22	0.15	0.06	0.23	0.24	0.5	0.31	0.31	0.09	0.16	0.09	0.14	0.16	0.11	0.4	0.28	0.07	0.23	0.33	0.17	0.14	0.5
